212.412,297000000,0.7809579,6.616075,5,7
220.798,26200000,0,5.6135319,1,3
221.089,34600000,0.009561,5.6156943,3,5
221.174,18100000,0.009561,5.6135319,3,3
221.667,45400000,0.0276679,5.619193,5,7
221.806,10900000,0.0276679,5.6156943,5,5
221.891,1050000,0.0276679,5.6135319,5,3
230.306,348000000,1.9086586,7.2904604,1,3
243.515,44300000,0.7809579,5.8708445,5,5
243.877,791000,0,5.0823459,1,3
244.336,1320000,0.009561,5.0823459,3,3
245.212,173000,0.0276679,5.0823459,5,3
250.69,54700000,0.009561,4.9537952,3,5
251.432,73900000,0,4.9296471,1,3
251.6113,168000000,0.0276679,4.9537952,5,5
251.9202,54900000,0.009561,4.9296471,3,3
252.4108,222000000,0.009561,4.9200852,3,1
252.8509,90400000,0.0276679,4.9296471,5,3
253.2381,24500000,1.9086586,6.8031408,1,3
256.8641,4240000,1.9086586,6.7340552,1,3
263.1282,106000000,1.9086586,6.6191858,1,3
288.1579,217000000,0.7809579,5.0823459,5,3
297.0355,60000,0.7809579,4.9537952,5,5
298.7645,2660000,0.7809579,4.9296471,5,3
300.6739,1100,0.009561,4.131904,3,5
302.0004,3300,0.0276679,4.131904,5,5
390.5523,13300000,1.9086586,5.0823459,1,3
