(266.0393, 266.072783316809, 0.048102972061777494, 98.30181792585063, 3526211749.1948466, 5295.278262220076, 0.11830576753472383, 1.6030591806873146e+17, 0.00015449845217324263, 164872389.87243205, 164872389.87258655)
(266.0393, 266.05121257452237, 0.29025362641634195, 238595994.75979462, 1674418359.638082, 0.03446683737989893, 0.12436638030752731, 1.6851813049800448e+17, 69253349.35065159, 60488268.38305871, 129741617.73371248)

(396.152, 396.27216631187036, 0.20792851449415928, 599127.7710045576, 4451073552.454353, 724914138215.7517, 0.2765422314321094, 4.955953968317373e+16, 6.911382357819366e-08, 404369549.9905435, 404369549.99054366)
(396.152, 396.2012947757685, 0.14041326081509659, 1034486364.5364304, 2314309955.9009066, 0.08215984833219483, 0.22581355069805015, 4.046837826129931e+16, 145255602.74881417, 192935945.18377504, 338191547.93260646)
(396.152, 396.1840407292656, 0.2001714065087124, 1190095.7951741219, 10821155153.176838, 1250243.3597981036, 0.14947481075730049, 2.6787600494139868e+16, 0.076610987741646, 586134230.5858158, 586134230.6624267)
(396.152, 396.17140515980407, 0.20001935322721193, 82692716.29977821, 17403881361.14078, 2696112524800.8687, 0.12822021962831692, 2.297853398356934e+16, 2.4067350536153696e-06, 818650602.0039239, 818650602.0039263)
(396.152, 396.1616049020345, 0.15797198682182018, 1142137.1371793747, 23788539114.142494, 183392146.82763672, 0.11744371988879174, 2.104726162881572e+16, 0.0004533485271600962, 1098262467.1562128, 1098262467.156666)
(396.152, 396.14975055829586, 0.15870227194855446, 52879699.88343811, 19960926119.65319, 128104265.38120651, 0.10251509053921447, 1.8371880024948828e+16, 0.025056444704977532, 802016336.204092, 802016336.2291483)

(288.1579, 288.21735760878096, 0.20051147899999575, 22820.91282614693, 21315304900.662167, 56567862096.125145, 0.16905366263147417, 1.320731739308392e+18, 3.298871686993328e-08, 1289679591.1206703, 1289679591.1206703)
(288.1579, 288.18448854606896, 0.19876674627567048, 38945357.47348043, 21972906779.037094, 122889971063.55824, 0.11643805110338246, 9.096722742451753e+17, 1.9376762711649933e-05, 927128555.2126489, 927128555.2126684)
(288.1579, 288.1730214638129, 0.1018102384915572, 5093258774.242149, 17275876226.36896, 0.04771234693215817, 0.11597966687695584, 4.956396020382728e+17, 518545890.5048039, 820874175.2346797, 1339420065.7394965)
(288.1579, 288.16742691089394, 0.20003358937508814, 2405323861.6955314, 50847070467.87313, 1290716120665.2456, 0.08786239445096483, 3.754803181665164e+17, 0.0001146535919318827, 1657805565.1610513, 1657805565.161166)
(288.1579, 288.1611392728561, 0.2015749707019413, 12443637724.132397, 69038625564.38368, 13915831317.572617, 0.08217534615769355, 3.5117669298159635e+17, 0.054162780547811304, 2101551501.508894, 2101551501.5630567)
(288.1579, 288.1542820646442, 0.19787403702857304, 9652114230.654417, 52440225939.14777, 168471783386.08762, 0.07285157834610266, 3.113315313936011e+17, 0.003811699778966572, 1446572529.3483114, 1446572529.3521233)


order of colums is (lam, cen, p, amp_g, amp_l, width_g, width_l, N_e, IG, IL, IV), where lam is wavelength from NIST, cen is fitted wavelength; IG, IL, IV are integrations of gaussian, Lorentzian and voigt line fittings.
